M6.2	M6.2: Declaration-vs-evidence comparison	M6 — Builder-declaration comparison (optional input)	stage-1,track:checker	M6.2.md
M7.1	M7.1: Structured recommendations	M7 — Completion result, recommendations, CLI output	stage-1,track:checker	M7.1.md
M7.2	M7.2: Completion verdict	M7 — Completion result, recommendations, CLI output	stage-1,track:checker	M7.2.md
M7.3	M7.3: Next-instruction generator	M7 — Completion result, recommendations, CLI output	stage-1,track:checker	M7.3.md
M7.4	M7.4: CLI report	M7 — Completion result, recommendations, CLI output	stage-1,track:checker	M7.4.md
M7.5	M7.5: Incremental re-run	M7 — Completion result, recommendations, CLI output	stage-1,track:checker	M7.5.md
M-B1	M-B1: Ready-made labeled instances	M-B1…M-B4 — Real-change benchmark datasets + accuracy report	stage-1,track:benchmark,human-gate	M-B1.md
M-B2	M-B2: Real merged PRs + follow-up-fix labels	M-B1…M-B4 — Real-change benchmark datasets + accuracy report	stage-1,track:benchmark,human-gate	M-B2.md
M-B3	M-B3: Offline mutants for test-strength labels	M-B1…M-B4 — Real-change benchmark datasets + accuracy report	stage-1,track:benchmark	M-B3.md
M-B4	M-B4: Real agent-output layer	M-B1…M-B4 — Real-change benchmark datasets + accuracy report	stage-1,track:benchmark	M-B4.md
M-B*.report	M-B*.report: Accuracy report	M-B1…M-B4 — Real-change benchmark datasets + accuracy report	stage-1,track:benchmark	M-Bstar.report.md
M8.1	M8.1: Feasibility probe	M8 — Optional execution tier	stage-1,track:checker	M8.1.md
M8.2	M8.2: Sandbox runner	M8 — Optional execution tier	stage-1,track:checker	M8.2.md
M8.3	M8.3: Coverage-confirmed tier	M8 — Optional execution tier	stage-1,track:checker	M8.3.md
M8.4	M8.4: Targeted mutation (defect-killed tier)	M8 — Optional execution tier	stage-1,track:checker	M8.4.md
M8.5	M8.5: Close-the-loop confirmation	M8 — Optional execution tier	stage-1,track:checker	M8.5.md
M-B5b	M-B5b: Execution-confirmed archetype	M-B5b + M-B6 — Execution archetype + user-correction capture	stage-1,track:benchmark	M-B5b.md
M-B6	M-B6: User-correction capture	M-B5b + M-B6 — Execution archetype + user-correction capture	stage-1,track:benchmark	M-B6.md
M9.1	M9.1: Cost/latency pass	M9 — Hardening & Stage-1 exit	stage-1,track:checker	M9.1.md
M9.2	M9.2: Confidence-language audit	M9 — Hardening & Stage-1 exit	stage-1,track:checker,human-gate	M9.2.md
M9.3	M9.3: Demo-scenario acceptance run	M9 — Hardening & Stage-1 exit	stage-1,track:checker	M9.3.md
M9.4	M9.4: Headline accuracy sign-off	M9 — Hardening & Stage-1 exit	stage-1,track:checker,human-gate	M9.4.md
